benchmark,sae,seed,true_l0,sae_l0,dead_latents,shrinkage,explained_variance,mcc,uniqueness,precision,recall,f1_score,accuracy,sae_type,k
CORRELATED_PAIRS,BatchTopK_0,0,8.02959,1.99301,108,0.8486369604072739,0.6072421159317887,0.7184719443321228,0.8765432098765432,0.8009775280952454,0.41666024923324585,0.541710376739502,0.9854397177696228,BatchTopK,2
CORRELATED_PAIRS,BatchTopK_1,0,8.03041,3.00623,50,1.0393243083738497,0.7448490644129531,0.7723066210746765,0.9614197530864198,0.8633767366409302,0.5924791097640991,0.6964220404624939,0.9928101897239685,BatchTopK,3
CORRELATED_PAIRS,BatchTopK_2,0,8.01981,3.98398,1,0.9057370117236532,0.8269928059213175,0.8392797708511353,0.9922839506172839,0.9303720593452454,0.717444121837616,0.8013821840286255,0.9960310459136963,BatchTopK,4
CORRELATED_PAIRS,BatchTopK_3,0,8.00615,4.97645,0,0.9508754225560813,0.8599501586443767,0.8454776406288147,0.9907407407407407,0.8688473105430603,0.8146952986717224,0.83680659532547,0.9969620108604431,BatchTopK,5
CORRELATED_PAIRS,BatchTopK_4,0,8.04901,6.00897,0,0.9578748801648329,0.8741066055411221,0.8431462645530701,0.9876543209876543,0.749409019947052,0.8495095372200012,0.7893669605255127,0.9968774318695068,BatchTopK,6
CORRELATED_PAIRS,BatchTopK_5,0,8.013,6.96227,0,0.9250872031702025,0.8791616103909753,0.8380147814750671,0.9922839506172839,0.6266360878944397,0.861227810382843,0.7137895822525024,0.9958689212799072,BatchTopK,7
CORRELATED_PAIRS,BatchTopK_6,0,8.04117,8.02634,0,0.9192577305092746,0.8825685248838493,0.8335846662521362,0.9861111111111112,0.5405716300010681,0.8709340691566467,0.6544450521469116,0.9946571588516235,BatchTopK,8
CORRELATED_PAIRS,BatchTopK_7,0,8.0517,9.06477,0,0.922192827453264,0.8858843883958376,0.8345140814781189,0.9799382716049383,0.4858968257904053,0.8723438382148743,0.6104533672332764,0.9929989576339722,BatchTopK,9
CORRELATED_PAIRS,BatchTopK_8,0,8.02751,10.07481,0,0.9408895868075787,0.8895704908601703,0.8338330984115601,0.9814814814814815,0.446789413690567,0.8786278367042542,0.57759690284729,0.9917996525764465,BatchTopK,10
CORRELATED_PAIRS,BatchTopK_9,0,8.04412,11.02711,0,0.9503131307172479,0.8909916805625455,0.8296938538551331,0.9799382716049383,0.428967148065567,0.8748440146446228,0.5604900121688843,0.9902971982955933,BatchTopK,11
DAG_RANDOM_WALK,BatchTopK_0,0,8.06071,2.00609,1,0.640523203125,0.64223603584084,0.9316584467887878,0.9969135802469136,0.98419189453125,0.48425430059432983,0.6430224180221558,0.9953301548957825,BatchTopK,2
DAG_RANDOM_WALK,BatchTopK_1,0,8.04908,3.00043,0,0.74980265625,0.7247017475896738,0.9440882205963135,0.9953703703703703,0.965949535369873,0.6327316164970398,0.7602865695953369,0.9960031509399414,BatchTopK,3
DAG_RANDOM_WALK,BatchTopK_2,0,8.06111,3.9962,0,0.799550859375,0.7632342501761208,0.9320058822631836,0.9969135802469136,0.8605688810348511,0.7069631218910217,0.7687512040138245,0.9957674741744995,BatchTopK,4
DAG_RANDOM_WALK,BatchTopK_3,0,8.0503,4.99396,0,0.816455,0.7822749239616377,0.9219045639038086,0.9922839506172839,0.719494640827179,0.7396100163459778,0.7163784503936768,0.994973361492157,BatchTopK,5
DAG_RANDOM_WALK,BatchTopK_4,0,8.05466,5.98922,0,0.82695484375,0.7959793700731752,0.9164849519729614,0.9922839506172839,0.6251699924468994,0.757287323474884,0.6671938300132751,0.9942260384559631,BatchTopK,6
DAG_RANDOM_WALK,BatchTopK_5,0,8.05544,6.9913,0,0.82818171875,0.8032925474203398,0.9018993973731995,0.9953703703703703,0.5371787548065186,0.7645000219345093,0.6077563166618347,0.9929554462432861,BatchTopK,7
DAG_RANDOM_WALK,BatchTopK_6,0,8.07236,7.9915,0,0.832514609375,0.8103864143517514,0.8997875452041626,0.9891975308641975,0.49171504378318787,0.7706201076507568,0.5757604837417603,0.9918771386146545,BatchTopK,8
DAG_RANDOM_WALK,BatchTopK_7,0,8.06697,8.96549,0,0.8350609375,0.8170988616463926,0.8929810523986816,0.9814814814814815,0.4585173428058624,0.7695975303649902,0.5472250580787659,0.9902021884918213,BatchTopK,9
DAG_RANDOM_WALK,BatchTopK_8,0,8.06001,10.02025,0,0.8383378125,0.8235612972627547,0.8878849148750305,0.9783950617283951,0.430889755487442,0.7755503058433533,0.5266949534416199,0.9886847734451294,BatchTopK,10
DAG_RANDOM_WALK,BatchTopK_9,0,8.05006,10.96485,0,0.839351875,0.8284981300913898,0.8773470520973206,0.9660493827160493,0.4081837832927704,0.7615694999694824,0.5026585459709167,0.9863051176071167,BatchTopK,11
HIERARCHICAL_PAIRS,BatchTopK_0,0,8.00812,1.99946,107,1.133659578047629,0.6665368952774031,0.7407435178756714,0.8780864197530864,0.8211822509765625,0.38107091188430786,0.5162449479103088,0.9828132390975952,BatchTopK,2
HIERARCHICAL_PAIRS,BatchTopK_1,0,8.01479,3.00876,83,0.8663731501110185,0.7943809137070355,0.7764569520950317,0.9583333333333334,0.8649689555168152,0.5443388223648071,0.6646189093589783,0.9910995960235596,BatchTopK,3
HIERARCHICAL_PAIRS,BatchTopK_2,0,7.99983,3.98751,0,0.9157853598186219,0.8738031169431622,0.8577208518981934,0.9691358024691358,0.9816768169403076,0.7110097408294678,0.8158121705055237,0.9956883788108826,BatchTopK,4
HIERARCHICAL_PAIRS,BatchTopK_3,0,7.99077,4.98255,0,0.9704255926967703,0.8962829794191683,0.8582310676574707,0.9783950617283951,0.8983381986618042,0.780481219291687,0.8304119110107422,0.996283233165741,BatchTopK,5
HIERARCHICAL_PAIRS,BatchTopK_4,0,8.02936,6.02031,0,0.9562214836769932,0.908633524129685,0.8563229441642761,0.9768518518518519,0.7838580012321472,0.8157339096069336,0.7940482497215271,0.9958051443099976,BatchTopK,6
HIERARCHICAL_PAIRS,BatchTopK_5,0,7.99049,6.95774,0,0.980860061787311,0.9160284512479868,0.8456457853317261,0.9814814814814815,0.7005142569541931,0.8229458928108215,0.7496339678764343,0.9953958988189697,BatchTopK,7
HIERARCHICAL_PAIRS,BatchTopK_6,0,8.017,8.04498,0,0.9381842389994578,0.9194429613810401,0.8397608399391174,0.9737654320987654,0.6182184219360352,0.8299463391304016,0.6988085508346558,0.9938027858734131,BatchTopK,8
