benchmark,sae,seed,true_l0,sae_l0,dead_latents,shrinkage,explained_variance,mcc,uniqueness,precision,recall,f1_score,accuracy,sae_type,k,widths
CORRELATED_PAIRS,Matryoshka_0,0,8.02959,1.99642,107,0.8471051961059957,0.6041675453675037,0.715825617313385,0.8765432098765432,0.80177903175354,0.4167015254497528,0.5405552983283997,0.9859404563903809,Matryoshka,2,3-level
CORRELATED_PAIRS,Matryoshka_1,0,8.03041,3.0083,70,1.0382435640344356,0.7347723788077759,0.7522552013397217,0.9444444444444444,0.8320583701133728,0.5749413967132568,0.6718490719795227,0.990297794342041,Matryoshka,3,3-level
CORRELATED_PAIRS,Matryoshka_2,0,8.01981,3.9897,0,0.9071510832454687,0.8208508546457182,0.8156783580780029,0.9891975308641975,0.9202228784561157,0.7234383821487427,0.7974626421928406,0.9958860874176025,Matryoshka,4,3-level
CORRELATED_PAIRS,Matryoshka_3,0,8.00615,4.97683,0,0.972907907889053,0.8482000100776272,0.8140489459037781,0.9830246913580247,0.8513625264167786,0.7912558913230896,0.8112519979476929,0.9959626197814941,Matryoshka,5,3-level
CORRELATED_PAIRS,Matryoshka_4,0,8.04901,6.01183,0,1.013685599577377,0.8597895519992262,0.8112185597419739,0.9768518518518519,0.72802734375,0.8217006921768188,0.7632312774658203,0.9953942894935608,Matryoshka,6,3-level
CORRELATED_PAIRS,Matryoshka_5,0,8.013,6.95816,0,0.9388960982702508,0.8636468826168894,0.8035775423049927,0.9783950617283951,0.6343061923980713,0.8349398374557495,0.7089178562164307,0.9944449663162231,Matryoshka,7,3-level
CORRELATED_PAIRS,Matryoshka_6,0,8.04117,8.0214,0,0.9225875739407269,0.8654794750729214,0.7978619337081909,0.970679012345679,0.5626524090766907,0.8461130261421204,0.6608854532241821,0.9932098388671875,Matryoshka,8,3-level
CORRELATED_PAIRS,Matryoshka_7,0,8.0517,9.05069,0,0.9270310680257424,0.8656682081563362,0.7937735915184021,0.9567901234567902,0.5317900776863098,0.8407732248306274,0.6330023407936096,0.991339385509491,Matryoshka,9,3-level
CORRELATED_PAIRS,Matryoshka_8,0,8.02751,10.05447,0,0.9522792514717405,0.8659985144127165,0.7815667390823364,0.9444444444444444,0.5039541721343994,0.8260598182678223,0.6050847172737122,0.9894664287567139,Matryoshka,10,3-level
CORRELATED_PAIRS,Matryoshka_9,0,8.04412,10.98487,0,0.9643287034712669,0.8675596370760306,0.7762643098831177,0.9367283950617284,0.4747729003429413,0.8259936571121216,0.5805129408836365,0.9881979823112488,Matryoshka,11,3-level
DAG_RANDOM_WALK,Matryoshka_0,0,8.06071,2.00634,1,0.6476978515625,0.6344839122056298,0.9302905201911926,0.9922839506172839,0.9799088835716248,0.4660530686378479,0.6245740056037903,0.995018482208252,Matryoshka,2,3-level
DAG_RANDOM_WALK,Matryoshka_1,0,8.04908,3.01007,0,0.7577703125,0.7150928412499138,0.9422878623008728,0.9922839506172839,0.9631386995315552,0.614456295967102,0.7455533146858215,0.9958868026733398,Matryoshka,3,3-level
DAG_RANDOM_WALK,Matryoshka_2,0,8.06111,3.99469,0,0.811096328125,0.7507435159143755,0.9281111359596252,0.9938271604938271,0.8573968410491943,0.700006365776062,0.7636128664016724,0.9960815906524658,Matryoshka,4,3-level
DAG_RANDOM_WALK,Matryoshka_3,0,8.0503,4.99905,0,0.829238828125,0.7655441657595279,0.913527250289917,0.9922839506172839,0.7194141745567322,0.7396827340126038,0.7171955704689026,0.9955283999443054,Matryoshka,5,3-level
