arch,sae_label,sae_l0,n_matched_pairs,n_absorbed,absorption_rate
Standard,Standard_0,14.32864,133,70,0.5263157894736842
Standard,Standard_1,13.12342,144,76,0.5277777777777778
Standard,Standard_2,12.40774,142,79,0.5563380281690141
Standard,Standard_3,11.80342,140,80,0.5714285714285714
Standard,Standard_4,10.33163,151,87,0.5761589403973509
Standard,Standard_5,9.89652,136,76,0.5588235294117647
Standard,Standard_6,8.94176,146,74,0.5068493150684932
Standard,Standard_7,7.58905,155,64,0.4129032258064516
Standard,Standard_8,6.24551,175,71,0.4057142857142857
Standard,Standard_9,5.08966,192,51,0.265625
Standard,Standard_10,3.97144,200,51,0.255
Standard,Standard_11,2.864,180,24,0.13333333333333333
Standard,Standard_12,2.4428,174,26,0.14942528735632185
Standard,Standard_13,2.13876,159,34,0.2138364779874214
Standard,Standard_14,1.83378,145,29,0.2
Standard,Standard_15,1.32068,166,35,0.21084337349397592
BatchTopK,BatchTopK_0,1.99946,67,55,0.8208955223880597
BatchTopK,BatchTopK_1,3.00876,67,51,0.7611940298507462
BatchTopK,BatchTopK_2,3.98751,58,1,0.017241379310344827
BatchTopK,BatchTopK_3,4.98255,52,0,0.0
BatchTopK,BatchTopK_4,6.02031,45,0,0.0
BatchTopK,BatchTopK_5,6.95774,47,0,0.0
BatchTopK,BatchTopK_6,8.04498,43,0,0.0
BatchTopK,BatchTopK_7,9.04565,38,0,0.0
BatchTopK,BatchTopK_8,9.9753,42,0,0.0
BatchTopK,BatchTopK_9,10.97528,45,1,0.022222222222222223
Matryoshka,Matryoshka_0,1.99745,69,56,0.8115942028985508
Matryoshka,Matryoshka_1,3.00586,72,61,0.8472222222222222
Matryoshka,Matryoshka_2,3.98568,62,2,0.03225806451612903
Matryoshka,Matryoshka_3,4.9854,46,7,0.15217391304347827
Matryoshka,Matryoshka_4,6.00929,40,2,0.05
Matryoshka,Matryoshka_5,6.97382,36,2,0.05555555555555555
Matryoshka,Matryoshka_6,8.03755,37,5,0.13513513513513514
Matryoshka,Matryoshka_7,9.08954,39,1,0.02564102564102564
Matryoshka,Matryoshka_8,9.953,54,6,0.1111111111111111
Matryoshka,Matryoshka_9,10.98755,50,0,0.0
MatchingPursuit,MatchingPursuit_0,1.99495,37,16,0.43243243243243246
MatchingPursuit,MatchingPursuit_1,2.98498,50,20,0.4
MatchingPursuit,MatchingPursuit_2,3.96935,41,20,0.4878048780487805
MatchingPursuit,MatchingPursuit_3,4.9398,51,19,0.37254901960784315
MatchingPursuit,MatchingPursuit_4,5.88352,54,17,0.3148148148148148
MatchingPursuit,MatchingPursuit_5,6.7883,58,12,0.20689655172413793
MatchingPursuit,MatchingPursuit_6,7.70665,64,17,0.265625
MatchingPursuit,MatchingPursuit_7,8.6504,62,15,0.24193548387096775
MatchingPursuit,MatchingPursuit_8,9.50074,62,7,0.11290322580645161
MatchingPursuit,MatchingPursuit_9,10.30918,68,13,0.19117647058823528
