arch,sae_label,sae_l0,splitting_quality
Standard,Standard_15,1.54424,0.0015432098765432098
Standard,Standard_14,1.77872,0.0
Standard,Standard_13,2.07884,0.0
Standard,Standard_12,2.326,0.0015432098765432098
Standard,Standard_11,2.64627,0.0030864197530864196
Standard,Standard_10,3.09103,0.0015432098765432098
Standard,Standard_9,3.55497,0.0
Standard,Standard_8,4.24646,0.0
Standard,Standard_7,4.91154,0.0
Standard,Standard_6,5.3717,0.0
Standard,Standard_5,5.88811,0.0
Standard,Standard_4,6.54692,0.0
Standard,Standard_3,7.48206,0.0
Standard,Standard_2,8.87516,0.0
Standard,Standard_1,11.13234,0.0
Standard,Standard_0,15.08809,0.0
BatchTopK,BatchTopK_0,1.99492,0.0
BatchTopK,BatchTopK_1,2.99593,0.0
BatchTopK,BatchTopK_2,4.00028,0.0
BatchTopK,BatchTopK_3,5.00021,0.0
BatchTopK,BatchTopK_4,5.98615,0.0
BatchTopK,BatchTopK_5,6.99555,0.0
BatchTopK,BatchTopK_6,7.99477,0.0
BatchTopK,BatchTopK_7,9.00763,0.0
BatchTopK,BatchTopK_8,10.00292,0.0
BatchTopK,BatchTopK_9,11.00713,0.0
Matryoshka,Matryoshka_0,1.99942,0.051666666666666666
Matryoshka,Matryoshka_1,2.99501,0.0030864197530864196
Matryoshka,Matryoshka_2,4.00605,0.0
Matryoshka,Matryoshka_3,4.99921,0.0
Matryoshka,Matryoshka_4,5.99298,0.0
Matryoshka,Matryoshka_5,6.98109,0.0
Matryoshka,Matryoshka_6,8.02184,0.0
Matryoshka,Matryoshka_7,8.96598,0.0
Matryoshka,Matryoshka_8,9.98585,0.0
Matryoshka,Matryoshka_9,11.00049,0.0
MatchingPursuit,MatchingPursuit_0,2.0,0.9027777777777778
MatchingPursuit,MatchingPursuit_1,2.99947,0.3734567901234568
MatchingPursuit,MatchingPursuit_2,3.99791,0.10185185185185185
MatchingPursuit,MatchingPursuit_3,4.99644,0.027777777777777776
MatchingPursuit,MatchingPursuit_4,5.99245,0.010802469135802469
MatchingPursuit,MatchingPursuit_5,6.98001,0.004629629629629629
MatchingPursuit,MatchingPursuit_6,7.9595,0.0
MatchingPursuit,MatchingPursuit_7,8.92273,0.0015432098765432098
MatchingPursuit,MatchingPursuit_8,9.88868,0.0030864197530864196
MatchingPursuit,MatchingPursuit_9,10.74937,0.0
